Name,baseline,A,ec50,n,k
j,4.800197172053919e-17,53.59830074457017,8.436071854210375,2.9368753506662215,0.018560720326889175
j,3.3336488277914777e-21,21.32968148162413,7.828858335323336,3.0369766068651614,0.02089025336475681
j,2.5331026073267693e-15,21.07456645859007,7.92481769718029,2.865822567996985,0.026259625446329985
j,7.981335910885975e-15,23.368893741111798,8.915550065454244,2.488612834400717,0.021264707080427134
j,1.786743108531809e-18,19.9590136035295,7.739177050576484,2.8652000550702983,0.01879938948992237
j,2.3790713180746067e-15,22.65451224954795,7.732395450633023,2.9116431362183146,0.017770569774294896
j,4.388928114436637e-14,17.647196438435245,7.420051697903277,2.9273001394085534,0.010323690512095737
j,6.568997794468572e-17,18.515886990913373,7.051516330082438,3.057897896382361,0.010283882503713404
j,4.2175903606699053e-19,20.522085193220693,7.599477730735396,2.9213410753593103,0.015464879491684298
x,3.3893858471398356e-14,34.37593147988638,9.16820685323634,2.7658172272411687,0.011709499324153006
j,1.5975920678207248e-16,47.09421527982381,5.886150323222662,2.5087113158886605,0.008064008103833793
